loss,accuracy,val_loss,val_accuracy
0.21253053843975067,0.9335089921951294,0.14009737968444824,0.9530961513519287
0.10664515942335129,0.9679402709007263,0.08354803919792175,0.9757575988769531
0.083414226770401,0.973298192024231,0.0791625827550888,0.9765480756759644
0.06595513969659805,0.9790952801704407,0.08047197759151459,0.9770750999450684
0.0577850341796875,0.9813790321350098,0.07265447080135345,0.9807641506195068
0.04481792449951172,0.9865612387657166,0.0754556879401207,0.9799736738204956
0.036308735609054565,0.9884936213493347,0.07604114711284637,0.9815546870231628
0.0361437126994133,0.9887571334838867,0.08797454088926315,0.9731225371360779
0.03061560168862343,0.9902503490447998,0.06946354359388351,0.9807641506195068
0.020352426916360855,0.9947299361228943,0.07639440149068832,0.9786561131477356
0.023289131000638008,0.992621898651123,0.09902121126651764,0.9749670624732971
